Respondent,Gender,EdLevel,Age,Country,WorkLoc,CompTotal,ConvertedComp,WorkWeekHrs,CodeRevHrs
23265,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",33.0,United States,Home,111000.0,111000.0,40.0,2.0
23267,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",37.0,United States,Office,154000.0,1848000.0,45.0,10.0
23268,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21.0,Germany,Office,2100.0,28872.0,50.0,2.0
23270,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",23.0,India,Office,18000.0,3024.0,8.0,5.0
23274,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30.0,United States,Home,155000.0,155000.0,40.0,8.0
23276,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,Turkey,Office,7150.0,16476.0,45.0,2.0
23284,Woman,"Other doctoral degree (Ph.D, Ed.D., etc.)",40.0,United Kingdom,Office,65000.0,85051.0,38.0,3.0
23286,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30.0,United States,Office,180000.0,180000.0,37.5,5.0
23291,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,India,Home,750000.0,10495.0,40.0,10.0
23297,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,India,Office,28000.0,4704.0,54.0,1.0
23302,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35.0,Romania,Office,20000.0,57828.0,40.0,2.0
23303,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,United Kingdom,Home,5550.0,87144.0,37.5,4.0
23304,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30.0,Republic of Moldova,Office,98000.0,69216.0,40.0,4.0
23310,Man,"Other doctoral degree (Ph.D, Ed.D., etc.)",38.0,Germany,Home,66000.0,75619.0,42.0,3.0
23311,Woman,"Other doctoral degree (Ph.D, Ed.D., etc.)",42.0,United Kingdom,Other,60000.0,78508.0,50.0,3.0
23312,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",34.0,Argentina,Other,60000.0,60000.0,40.0,4.0
23313,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,United States,Office,250000.0,250000.0,40.0,2.0
23314,Man,Some college/university study without earning a degree,40.0,United Kingdom,Office,80000.0,104678.0,35.0,4.0
23315,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",23.0,United States,Office,77000.0,77000.0,40.0,2.0
23320,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,Sri Lanka,Home,25000.0,1704.0,40.0,5.0
23322,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",38.0,United States,Office,172000.0,172000.0,45.0,4.0
23325,Man,Associate degree,30.0,Sweden,Office,43000.0,57000.0,40.0,5.0
23326,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25.0,Canada,Other,40560.0,30963.0,20.0,2.0
23327,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,Serbia,Office,204000.0,23688.0,40.0,5.0
23328,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",23.0,United States,Home,70000.0,70000.0,45.0,10.0
