,COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
116,Libya,1031060,951010.0,15.01,13.84,80050.0,1.17,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
117,Liechtenstein,43139,22920.0,111.34,59.15,20483.0,52.86,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0
118,Lithuania,3167351,1659396.0,113.36,59.39,1507955.0,53.97,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
119,Luxembourg,763335,407226.0,121.92,65.04,356109.0,56.88,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3.0
121,Malawi,943766,672740.0,4.93,3.52,410484.0,2.15,SII - Covishield,1.0
122,Malaysia,66014299,18948648.0,203.96,58.55,14095554.0,43.55,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
123,Maldives,685802,383620.0,126.87,70.97,302182.0,55.9,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
124,Mali,317060,230583.0,1.57,1.14,86477.0,0.43,SII - Covishield,1.0
125,Malta,796333,413598.0,154.76,80.38,412419.0,80.15,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
126,Marshall Islands,37295,20681.0,63.01,34.94,17962.0,30.34,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3.0
127,Martinique,168530,97336.0,44.91,25.94,71194.0,18.97,Pfizer BioNTech - Comirnaty,1.0
128,Mauritania,565434,240729.0,12.16,5.18,324705.0,6.98,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
129,Mauritius,1483840,787076.0,116.68,61.89,696764.0,54.79,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3.0
